,interval,symbol,n,n_distinct_ts,n_duplicate_ts
0,1h,ADA-USD,2160,2160,0
1,1h,ATOM-USD,2160,2160,0
2,1h,BAT-USD,2160,2160,0
3,1h,BCH-USD,2160,2160,0
4,1h,BNB-USD,2160,2160,0
5,1h,BTC-USD,2160,2160,0
6,1h,DASH-USD,2160,2160,0
7,1h,DOGE-USD,2160,2160,0
8,1h,ETC-USD,2160,2160,0
9,1h,ETH-USD,2160,2160,0
10,1h,LINK-USD,2160,2160,0
11,1h,LTC-USD,2160,2160,0
12,1h,TRX-USD,2160,2160,0
13,1h,XRP-USD,2160,2160,0
14,1h,ZEC-USD,2160,2160,0
15,1h,ZRX-USD,2160,2160,0
16,1m,ADA-USD,129600,129600,0
17,1m,ATOM-USD,129600,129600,0
18,1m,BAT-USD,129600,129600,0
19,1m,BCH-USD,129600,129600,0
20,1m,BNB-USD,129600,129600,0
21,1m,BTC-USD,129600,129600,0
22,1m,DASH-USD,129600,129600,0
23,1m,DOGE-USD,129600,129600,0
24,1m,ETC-USD,129600,129600,0
25,1m,ETH-USD,129600,129600,0
26,1m,LINK-USD,129600,129600,0
27,1m,LTC-USD,129600,129600,0
28,1m,TRX-USD,129600,129600,0
29,1m,XRP-USD,129600,129600,0
30,1m,ZEC-USD,129600,129600,0
31,1m,ZRX-USD,129600,129600,0
