,interval,symbol,n_rows,min_ts,max_ts
0,1h,ADA-USD,2160,2025-12-01,2026-02-28 23:00:00
1,1h,ATOM-USD,2160,2025-12-01,2026-02-28 23:00:00
2,1h,BAT-USD,2160,2025-12-01,2026-02-28 23:00:00
3,1h,BCH-USD,2160,2025-12-01,2026-02-28 23:00:00
4,1h,BNB-USD,2160,2025-12-01,2026-02-28 23:00:00
5,1h,BTC-USD,2160,2025-12-01,2026-02-28 23:00:00
6,1h,DASH-USD,2160,2025-12-01,2026-02-28 23:00:00
7,1h,DOGE-USD,2160,2025-12-01,2026-02-28 23:00:00
8,1h,ETC-USD,2160,2025-12-01,2026-02-28 23:00:00
9,1h,ETH-USD,2160,2025-12-01,2026-02-28 23:00:00
10,1h,LINK-USD,2160,2025-12-01,2026-02-28 23:00:00
11,1h,LTC-USD,2160,2025-12-01,2026-02-28 23:00:00
12,1h,TRX-USD,2160,2025-12-01,2026-02-28 23:00:00
13,1h,XRP-USD,2160,2025-12-01,2026-02-28 23:00:00
14,1h,ZEC-USD,2160,2025-12-01,2026-02-28 23:00:00
15,1h,ZRX-USD,2160,2025-12-01,2026-02-28 23:00:00
16,1m,ADA-USD,129600,2025-12-01,2026-02-28 23:59:00
17,1m,ATOM-USD,129600,2025-12-01,2026-02-28 23:59:00
18,1m,BAT-USD,129600,2025-12-01,2026-02-28 23:59:00
19,1m,BCH-USD,129600,2025-12-01,2026-02-28 23:59:00
20,1m,BNB-USD,129600,2025-12-01,2026-02-28 23:59:00
21,1m,BTC-USD,129600,2025-12-01,2026-02-28 23:59:00
22,1m,DASH-USD,129600,2025-12-01,2026-02-28 23:59:00
23,1m,DOGE-USD,129600,2025-12-01,2026-02-28 23:59:00
24,1m,ETC-USD,129600,2025-12-01,2026-02-28 23:59:00
25,1m,ETH-USD,129600,2025-12-01,2026-02-28 23:59:00
26,1m,LINK-USD,129600,2025-12-01,2026-02-28 23:59:00
27,1m,LTC-USD,129600,2025-12-01,2026-02-28 23:59:00
28,1m,TRX-USD,129600,2025-12-01,2026-02-28 23:59:00
29,1m,XRP-USD,129600,2025-12-01,2026-02-28 23:59:00
30,1m,ZEC-USD,129600,2025-12-01,2026-02-28 23:59:00
31,1m,ZRX-USD,129600,2025-12-01,2026-02-28 23:59:00
