symbol,tech_cluster
1000CHEEMS-USD,1
AAVE-USD,0
ADA-USD,0
APT-USD,0
ARB-USD,0
ASTER-USD,1
AVAX-USD,0
AVNT-USD,1
BIO-USD,1
BMT-USD,0
BNB-USD,4
BONK-USD,0
BTC-USD,4
CAKE-USD,0
CFX-USD,0
CRV-USD,0
DOGE-USD,0
DOT-USD,0
EDEN-USD,1
EIGEN-USD,0
ENA-USD,0
ETH-USD,0
FET-USD,0
FIL-USD,0
FLOKI-USD,0
FORM-USD,1
HBAR-USD,0
HEMI-USD,1
ICP-USD,1
LINEA-USD,1
LINK-USD,0
LISTA-USD,1
LTC-USD,0
MIRA-USD,3
NEAR-USD,0
OMNI-USD,2
ONDO-USD,0
OPEN-USD,1
PAXG-USD,4
PENDLE-USD,0
PENGU-USD,0
PEPE-USD,0
PLUME-USD,1
POL-USD,0
PUMP-USD,1
S-USD,1
SEI-USD,0
SHIB-USD,0
SOL-USD,0
SOMI-USD,1
STO-USD,3
SUI-USD,0
TAO-USD,0
TON-USD,4
TRUMP-USD,0
TRX-USD,4
TUT-USD,1
UNI-USD,0
VIRTUAL-USD,0
WIF-USD,1
WLD-USD,1
WLFI-USD,1
XLM-USD,0
XPL-USD,1
XRP-USD,0
ZEC-USD,1
ZEN-USD,1
